Title,Year,Age,Rating,Netflix,Hulu,Prime Video,Disney+
"Live Twice, Love Once",2019,18+,71/100,1,0,0,0
Iliza Shlesinger: Elder Millennial,2018,18+,71/100,1,0,0,0
Zindagi Na Milegi Dobara,2011,7+,71/100,1,0,0,0
Free Fire,2017,18+,71/100,1,0,0,0
Soorma,2018,13+,71/100,1,0,0,0
The Zookeeper's Wife,2017,13+,71/100,1,0,0,0
Time Share,2018,18+,71/100,1,0,0,0
The Outpost,2019,18+,71/100,1,0,0,0
Kabir Singh,2019,,71/100,1,0,0,0
Homecoming: A Film by Beyoncé,2019,13+,71/100,1,0,0,0
Jerry Seinfeld: 23 Hours to Kill,2020,7+,71/100,1,0,0,0
Ip Man 4: The Finale,2019,16+,71/100,1,0,0,0
The Laundromat,2019,18+,71/100,1,0,0,0
The 12th Man,2017,,71/100,1,1,0,0
Bad Trip,2020,18+,71/100,1,0,0,0
Mr. Peabody & Sherman,2014,7+,71/100,1,0,0,0
Ip Man 3,2015,13+,71/100,1,0,0,0
Rang De Basanti,2006,13+,71/100,1,0,0,0
The Midnight Sky,2020,13+,71/100,1,0,0,0
Mr. Right,2016,18+,71/100,1,0,0,0
White Christmas,1954,,71/100,1,0,0,0
Synchronic,2020,18+,71/100,1,0,0,0
Adrift,2018,13+,70/100,1,0,0,0
The Game Changers,2019,,70/100,1,0,0,0
Michelle Wolf: Joke Show,2019,,70/100,1,0,0,0
Da 5 Bloods,2020,18+,70/100,1,0,0,0
The American,2010,18+,70/100,1,0,1,0
The Best of Enemies,2019,13+,70/100,1,0,0,0
Forgotten,2017,18+,70/100,1,0,1,0
I Don't Feel at Home in This World Anymore,2017,18+,70/100,1,0,0,0
Lupin the Third: The Castle of Cagliostro,1979,7+,70/100,1,0,0,0
Never Back Down,2008,13+,70/100,1,0,0,0
Fear Street: 1666,2021,18+,70/100,1,0,0,0
Zathura: A Space Adventure,2005,7+,70/100,1,0,0,0
"Faith, Hope & Love",2019,7+,70/100,1,0,0,0
2 States,2014,7+,70/100,1,0,0,0
Grass is Greener,2019,,70/100,1,0,0,0
May the Devil Take You,2018,18+,70/100,1,0,0,0
